FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,HST,AS,AST
2,0,Home,2,0,Home,19,7,9,1
2,1,Home,1,0,Home,15,4,10,3
1,1,Draw,0,0,Draw,8,2,8,4
3,1,Home,1,1,Draw,16,6,7,2
0,1,Away,0,1,Away,17,1,13,4
2,0,Home,1,0,Home,23,11,7,1
2,0,Home,0,0,Draw,8,3,7,2
4,1,Home,1,0,Home,24,11,15,5
1,1,Draw,1,0,Home,15,3,11,3
2,0,Home,1,0,Home,20,6,9,2
0,2,Away,0,1,Away,8,2,11,4
1,1,Draw,1,1,Draw,15,5,17,7
1,1,Draw,0,0,Draw,12,5,10,2
6,3,Home,2,1,Home,9,6,27,6
3,0,Home,2,0,Home,17,8,13,7
2,0,Home,2,0,Home,12,4,10,2
0,0,Draw,0,0,Draw,12,2,12,4
0,1,Away,0,1,Away,10,4,14,2
2,1,Home,0,1,Away,13,3,4,2
1,1,Draw,1,0,Home,13,5,18,4
2,0,Home,2,0,Home,10,5,13,2
1,0,Home,0,0,Draw,23,6,17,6
2,2,Draw,1,2,Away,12,6,12,5
0,0,Draw,0,0,Draw,16,6,19,6
0,1,Away,0,1,Away,12,0,14,6
4,1,Home,1,1,Draw,17,9,13,4
0,1,Away,0,0,Draw,23,4,16,9
2,1,Home,0,0,Draw,18,6,15,1
2,1,Home,1,0,Home,21,8,4,2
1,1,Draw,1,0,Home,24,13,10,4
1,1,Draw,0,1,Away,17,5,8,3
1,1,Draw,1,1,Draw,22,5,7,2
4,1,Home,0,0,Draw,16,8,13,4
1,1,Draw,0,1,Away,16,1,10,4
1,1,Draw,1,0,Home,11,5,21,7
1,2,Away,0,2,Away,15,5,7,3
0,1,Away,0,0,Draw,8,5,16,6
3,3,Draw,3,2,Home,12,5,22,7
1,1,Draw,0,0,Draw,15,4,16,5
0,0,Draw,0,0,Draw,16,6,9,3
0,2,Away,0,1,Away,18,1,7,1
1,1,Draw,1,0,Home,13,5,11,4
1,2,Away,0,2,Away,23,7,14,4
2,1,Home,1,1,Draw,11,3,22,4
0,0,Draw,0,0,Draw,14,1,10,1
0,1,Away,0,1,Away,22,7,6,2
1,0,Home,0,0,Draw,25,8,9,0
1,3,Away,1,1,Draw,16,5,6,3
1,2,Away,1,1,Draw,10,2,15,5
1,0,Home,0,0,Draw,21,7,11,4
1,0,Home,1,0,Home,18,6,23,7
3,2,Home,2,1,Home,12,7,19,6
3,1,Home,1,1,Draw,19,6,11,2
2,1,Home,0,0,Draw,15,6,11,2
1,1,Draw,1,1,Draw,11,3,14,6
1,0,Home,0,0,Draw,13,4,14,2
0,1,Away,0,0,Draw,17,4,11,3
2,1,Home,1,1,Draw,15,2,12,5
1,2,Away,0,1,Away,19,7,9,5
5,1,Home,2,1,Home,20,10,25,13
5,0,Home,4,0,Home,16,5,12,1
3,0,Home,2,0,Home,15,4,12,3
1,2,Away,0,0,Draw,13,3,14,6
0,0,Draw,0,0,Draw,8,4,12,4
5,0,Home,3,0,Home,24,8,6,2
0,1,Away,0,0,Draw,22,4,7,4
1,0,Home,0,0,Draw,16,4,10,1
1,3,Away,0,2,Away,14,3,13,6
0,1,Away,0,0,Draw,18,6,13,5
1,3,Away,1,0,Home,10,4,16,8
3,0,Home,3,0,Home,12,5,9,4
1,0,Home,0,0,Draw,12,4,12,1
1,1,Draw,0,0,Draw,11,5,11,3
1,1,Draw,0,1,Away,12,5,22,7
2,1,Home,0,1,Away,17,5,11,5
0,1,Away,0,1,Away,14,2,6,1
2,2,Draw,2,0,Home,19,4,8,2
3,3,Draw,1,2,Away,12,7,26,11
2,2,Draw,2,0,Home,27,10,2,2
4,1,Home,1,1,Draw,20,11,14,5
2,2,Draw,1,2,Away,16,5,10,4
0,0,Draw,0,0,Draw,12,4,10,2
2,0,Home,0,0,Draw,16,7,17,5
1,3,Away,0,2,Away,12,4,17,6
3,1,Home,2,0,Home,18,8,18,4
1,1,Draw,1,1,Draw,15,6,5,2
4,1,Home,3,0,Home,16,7,7,4
2,0,Home,0,0,Draw,27,11,4,2
3,2,Home,2,1,Home,17,6,11,3
0,0,Draw,0,0,Draw,23,3,6,0
0,3,Away,0,1,Away,7,1,11,4
3,2,Home,1,0,Home,11,4,15,6
3,0,Home,1,0,Home,20,11,13,2
1,1,Draw,0,0,Draw,15,3,15,3
2,0,Home,1,0,Home,13,6,11,1
2,3,Away,1,2,Away,15,4,15,6
0,1,Away,0,0,Draw,16,3,6,3
1,2,Away,0,1,Away,16,5,7,4
2,0,Home,2,0,Home,17,7,8,3
2,2,Draw,2,1,Home,11,2,15,4
2,0,Home,1,0,Home,5,3,28,6
